Unnamed: 0,y,x,heading,distance,carvature,speedMode,steer,velocity,status,type
717,24.80835266,-140.1972858,147.292,0.205088216,-0.002553042,0,0,0,good,GPS
718,24.92452033,-140.3615869,147.265,0.201220658,-0.002341901,0,0,0,good,GPS
719,25.04087182,-140.5369646,147.25,0.210463845,-0.001243916,0,0,0,good,GPS
720,25.1570395,-140.7012657,147.246,0.201220659,-0.000346948,0,0,0,good,GPS
721,25.27339099,-140.8766434,147.248,0.210463847,0.000165855,0,0,0,good,GPS
722,25.37943245,-141.0521894,147.244,0.20508822,-0.000340406,0,0,0,good,GPS
723,25.49560013,-141.2164904,147.237,0.20122066,-0.00060716,0,0,0,good,GPS
724,25.61195164,-141.3918682,147.22,0.210463852,-0.001409772,0,0,0,good,GPS
725,25.72830314,-141.5672459,147.204,0.210463853,-0.001326844,0,0,0,good,GPS
726,25.84447084,-141.7315469,147.197,0.201220662,-0.00060716,0,0,0,good,GPS
727,25.96082235,-141.9069247,147.194,0.210463853,-0.000248783,0,0,0,good,GPS
728,26.07717386,-142.0823025,147.196,0.210463853,0.000165855,0,0,0,good,GPS
729,26.19334156,-142.2466035,147.196,0.201220667,0,0,0,0,good,GPS
730,26.30969308,-142.4219812,147.197,0.210463857,8.29E-05,0,0,0,good,GPS
731,26.42586078,-142.5862822,147.189,0.201220667,-0.000693897,0,0,0,good,GPS
732,26.54221231,-142.76166,147.186,0.210463858,-0.000248783,0,0,0,normal,GPS
733,26.65856383,-142.9370378,147.186,0.210463858,0,0,0,0,normal,GPS
734,26.77473154,-143.1013388,147.19,0.20122067,0.000346948,0,0,0,normal,GPS
735,26.89108307,-143.2767165,147.212,0.21046386,0.00182441,0,0,0,normal,GPS
736,27.00743461,-143.4520943,147.239,0.21046386,0.002239049,0,0,0,normal,GPS
737,27.12360232,-143.6163953,147.263,0.201220674,0.00208169,0,0,0,good,GPS
738,27.23995386,-143.791773,147.283,0.210463862,0.001658555,0,0,0,good,GPS
739,27.3563054,-143.9671508,147.306,0.210463863,0.001907338,0,0,0,good,GPS
740,27.47247313,-144.1314518,147.338,0.201220676,0.002775586,0,0,0,good,GPS
741,27.58882468,-144.3068296,147.383,0.210463864,0.003731748,0,0,0,good,GPS
742,27.70517623,-144.4822073,147.433,0.210463866,0.004146387,0,0,0,good,GPS
743,27.83183782,-144.6574169,147.485,0.216197929,0.004197872,0,0,0,good,GPS
